Company Name,Industry,Email Addresses,Phone,Text,Proposal Status,Contact Error ,Contact Person,Current Customer Feedback,Contact Title,Email Pattern,Reminder Call Status ,Reminder Call Note
https://www.google.com/search?q=Nigeria+Customs+Service&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAF (NCS),MDA,"mailto:mmi@customs.gov.ng
mailto:suleiman.idris@customs.gov.ng
mailto:ahmed.labaran@customs.gov.ng
complain@customs.gov.ng
cgc@customs.gov.ng",,,Sent,,,,,,,
https://www.google.com/search?q=Nigerian+Communications+Commission&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAH,MDA,"jnwachukwu@ncc.gov.ng
ailoka@ncc.gov.ng
mailto:ndominic@ncc.gov.ng
sigbayue@ncc.gov.ng
mailto:sjijji@ncc.gov.ng
aakande@ncc.gov.ng",,,Sent,,,,,,,
https://www.google.com/search?q=Nigerian+Ports+Authority&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAJ (NPA),MDA,"helpdesk@nigerianports.gov.ng
portscommunication@nigerianports.gov.ng
j.itamah@nigerianports.gov.ng
j.ayuba@nigerianports.gov.ng
info@nigerianports.gov.ng",,,Sent,,,,,,,
https://www.google.com/search?q=National+Information+Technology+Development+Agency&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAL (NITDA)YES ,MDA,"mailto:in%66%6f%40ni%74da%2e%67o%76.%6eg
",,,Sent,,,,,,,
https://www.google.com/search?q=Nigeria+Immigration+Service&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAP (NIS),MDA,"stacey@immigration.gov.ng
cgis@immigration.gov.ng
lecard@immigration.gov.ng
info@immigration.gov.ng
migrant_e-reg@immigration.gov.ng",,,Sent,,,,,,,
https://www.google.com/search?q=Corporate+Affairs+Commission&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAT (CAC),MDA,"hmagaji@cac.gov.ng
omabuyaku@cac.gov.ng
sasuquo@cac.gov.ng
dudaywal@cac.gov.ng
bstephen@cac.gov.ng
hmuhammad@cac.gov.ng",,,Sent,,,,,,,
https://www.google.com/search?q=Ministry+of+Finance&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIBRAB & https://www.google.com/search?q=Budget+Ministry&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIBRAC,MDA,"omolara.ogunbiyi@finance.gov.ng
oluchukwu.onyegbosi@finance.gov.ng
mohammed.abubakar@finance.gov.ng
adora.asonye@finance.gov.ng
mrsanaw11@finance.gov.ng",,,Sent,,,,,,,
https://www.google.com/search?q=Federal+Ministry+of+Health+and+Social+Welfare&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIBRAI,MDA,"hfr@health.gov.ng
alaba.balogun@health.gov.ng
info@health.gov.ng
",,,Sent,,,,,,,
Federal Capital Territory Administration,MDA,contactfcta@fcta.gov.ng,,,Sent,,,,,,,
Federal Ministry of Justice,MDA,"musa.kadiri@justice.gov.ng
cau@justice.gov.ng
terlumun.tyendezwa@justice.gov.ng
",,,Sent,,,,,,,
"Federal Ministry of Lands, Housing and Urban Development",MDA,"dpo@fmhud.gov.ng
psregistry@fmhud.gov.ng
info@fmhud.gov.ng",,,Sent,,,,,,,
Federal Road Safety Corps,MDA,"eyong@frsc.gov.ng
ismai@frsc.gov.ng
george-okolo@frsc.gov.ng
ayuba@frsc.gov.ng
",,,Sent,,,,,,,
Federal Ministry of Tourism,MDA,info@fmacce.gov.ng,,,Sent,,,,,,,
Federal Ministry of Youth Development,MDA,"cynthia.obi@fmyd.gov.ng
yohanna.tausa@fmyd.gov.ng
ernest.ezebilo@fmyd.gov.ng
amos.shofuyi@fmyd.gov.ng
dominic.monshum@fmyd.gov.ng",,,Sent,,,,,,,
Independent National Electoral Commission,MDA,mailto:iccc@inec.gov.ng,,,Sent,,,,,,,
National Pension Commission,MDA,"imohammed@pencom.gov.ng
kumar@pencom.gov.ng
aahmed@pencom.gov.ng
iogbonna@pencom.gov.ng
dishaku@pencom.gov.ng",,,Sent,,,,,,,
NAPTIP,MDA,"angela@naptip.gov.ng
olubiyi@naptip.gov.ng
samuel@naptip.gov.ng
ogoadinde@naptip.gov.ng
kakomolafe@naptip.gov.ng",,,Sent,,,,,,,
National Orientation Agency,MDA,admin@noa.gov.ng,,,Sent,,,,,,,
National Youth Service Corps,MDA,"awololaolukemi@nysc.gov.ng
imo@nysc.gov.ng
borno@nysc.gov.ng
",,,Sent,,,,,,,
Nigerian electricity Regulation Commission,MDA,"michael.faloseyi@nerc.gov.ng
imamuddeen.talba@nerc.gov.ng
mohammed.bello@nerc.gov.ng
abdu.mohammed@nerc.gov.ng
godwin.nelson@nerc.gov.ng",,,Sent,,,,,,,
Nigeria Institute of Transport technology (NITT),MDA,"abuja@nitt.gov.ng
editor_njtte@nitt.gov.ng
lagos@nitt.gov.ng
ekiti@nitt.gov.ng",,,Sent,,,,,,,
Office of the Accountant General of the Federation,MDA,info@oagf.gov.ng,,,Sent,,,,,,,
"Federal Ministry of Industry, Trade and Investment",MDA,"ahmed.mamuda@fmiti.gov.ng
salim.muktar@fmiti.gov.ng
constance.ikokwu@fmiti.gov.ng
shola.fagbile@fmiti.gov.ng
okey.enelamah@fmiti.gov.ng",,,Sent,,,,,,,
Federal Airport Authority of Nigeria,MDA,"christina.apagu@faan.gov.ng
babatunde.rukayat@faan.gov.ng
henry.omeogu@faan.gov.ng
ahmed.olalekan@faan.gov.ng
ololade.adebayo@faan.gov.ng",,,Sent,,,,,,,
Nigeria Security and Civil Defence Corps,MDA,"olanrewajua@nscdc.gov.ng
gibsone@nscdc.gov.ng
okunjis@nscdc.gov.ng
gibsone@nscdc.gov.ng
amakirih@nscdc.gov.ng",,,Sent,,,,,,,
National Population Commission,MDA,"nasir@nationalpopulation.gov.ng
najib@nationalpopulation.gov.ng
shedrach@nationalpopulation.gov.ng
duru@nationalpopulation.gov.ng
davies@nationalpopulation.gov.ng",,,Sent,,,,,,,
Central bank of Nigeria,MDA,"aihaza@cbn.gov.ng
aadesemoye@cbn.gov.ng
olugbengaadebayo@cbn.gov.ng
rmonguno@cbn.gov.ng
geze@cbn.gov.ng",,,Sent,,,,,,,
Legal Aid Council,MDA,info@legalaidcouncil.gov.ng,,,Sent,,,,,,,
Joint Admission and Matriculation Board,MDA,"abdulsalammuhammad@jamb.gov.ng
daudaadesina@jamb.gov.ng
njirekayamusa@jamb.gov.ng
abdul.oyedokun@jamb.gov.ng
callistusodera@jamb.gov.ng",,,Sent,,,,,,,
Nigeria Airspace Management Agency,MDA,"agbem@nama.gov.ng
uakangson@nama.gov.ng
jolawode@nama.gov.ng
",,,Sent,,,,,,,
National Human Right Commission,MDA,info@nigeriarights.gov.ng,,,Sent,,,,,,,
National Boundary Commission,MDA,info@nigeriarights.gov.ng,,,Sent,,,,,,,
 Ministry of Transportation,MDA,info@transportation.gov.ng,,,Sent,,,,,,,
Ministry of Foreign Affairs,MDA,"nhcc.admin@foreignaffairs.gov.ng
nigeria.mission@foreignaffairs.gov.ng
info@foreignaffairs.gov.ng",,,Sent,,,,,,,
National Bureau of Statistics,MDA,"oakigbogun@nigerianstat.gov.ng
ooladimeji@nigerianstat.gov.ng
obabalola@nigerianstat.gov.ng
fabdulmalik@nigerianstat.gov.ng
oaimola@nigerianstat.gov.ng
aadedeji@nigerianstat.gov.ng",,,Sent,,,,,,,
FERMA,MDA,info@ferma.gov.ng,,,Sent,,,,,,,
Economics and Financial Crimes Commission,MDA,"monimoe@efcc.gov.ng
dia@efcc.gov.ng
",,,Sent,,,,,,,
Nigeria Deposit Insurance Corporation,MDA,"auwala@ndic.gov.ng
ebeta@ndic.gov.ng
aminuy@ndic.gov.ng",,,Sent,,,,,,,
FEDERAL MINISTRY OF DEFENCE.,MDA,contact@defence.gov.ng,,,Sent,,,,,,,
FEDERAL INLAND REVENUE SERVICES,MDA,"kajesomo.kehinde@firs.gov.ng
kola.okunola@firs.gov.ng
muhammad.nami@firs.gov.ng
mark.dike@firs.gov.ng
buhari.mohammed@firs.gov.ng",,,Sent,,,,,,,
Brains & Hammers Limited,Real Estate,,,,Not sent,,,,,,,
Ambuild Homes,Real Estate,,,,Not sent,,,,,,,
Valabi Shelters Limited,Real Estate,,,,Not sent,,,,,,,
Bespoke Urban Luxury Limited,Real Estate,,,,Not sent,,,,,,,
Next Gear Group,Real Estate,,,,Not sent,,,,,,,
Everview Properties Limited,Real Estate,,,,Not sent,,,,,,,
White Avenue Real Estate,Real Estate,,,,Not sent,,,,,,,
Royal Niger Properties Limited,Real Estate,,,,Not sent,,,,,,,
Avila Consort Ltd,Real Estate,,,,Not sent,,,,,,,
Technique Urban Ltd,Real Estate,,,,Not sent,,,,,,,
Bamo Property Nigeria Limited,Real Estate,,,,Not sent,,,,,,,
Salis Ventilated Homes Ltd,Real Estate,,,,Not sent,,,,,,,
Clobek Crown Nigeria Estates,Real Estate,,,,Not sent,,,,,,,
Bauhaus International Limited,Real Estate,,,,Not sent,,,,,,,
Sunshine Estate Development Limited,Real Estate,,,,Not sent,,,,,,,
Chuks Realtors Limited,Real Estate,,,,Not sent,,,,,,,
ATM Luxury Properties,Real Estate,,,,Not sent,,,,,,,
Citiacle Realtors,Real Estate,,,,Not sent,,,,,,,
Deep-springs Facilities,Real Estate,,,,Not sent,,,,,,,
Integax Jubilation Homes,Real Estate,,,,Not sent,,,,,,,
Naim Properties Limited,Real Estate,,,,Not sent,,,,,,,
Villa Afrika Re,Real Estate,,,,Not sent,,,,,,,
Arinze Onuegbu and Co,Real Estate,,,,Not sent,,,,,,,
Boing Luxury Estates,Real Estate,,,,Not sent,,,,,,,
Mcdenum Empire,Real Estate,,,,Not sent,,,,,,,
Kellos Nigeria Company,Real Estate,,,,Not sent,,,,,,,
Ipent Estates,Real Estate,,,,Not sent,,,,,,,
Hazam Property,Real Estate,,,,Not sent,,,,,,,
Waterfalls Realty,Real Estate,,,,Not sent,,,,,,,
Proponent Properties Ltd,Real Estate,,,,Not sent,,,,,,,
Le’Ve­nue Group,Real Estate,,,,Not sent,,,,,,,
Jide Taiwo & Co.,Real Estate,,,,Not sent,,,,,,,
Hugedream Properties,Real Estate,,,,Not sent,,,,,,,
Landpreneurs Limited,Real Estate,,,,Not sent,,,,,,,
Aravody Limited,Real Estate,,,,Not sent,,,,,,,
Neostruct Bliss Home,Real Estate,,,,Not sent,,,,,,,
Kaliodoscope Real Property,Real Estate,,,,Not sent,,,,,,,
Armstrong Shelter Limited,Real Estate,,,,Not sent,,,,,,,
Skybound Properties Ltd,Real Estate,,,,Not sent,,,,,,,
Kashco Apartments Wuse 2,Apartment,reservations@kashcoservices.com,0803 311 5362,,Not sent,,,,,,,
Gidanka Apartments,Apartment,info@gidanka.com,0901 033 1551,,Not sent,,,,,,,
Fraser Suites Abuja,Apartment,reservations.abuja@frasershospitality.com,0813 988 8888,,Not sent,,,,,,,
Nordic Hotel Abuja,Apartment,info@nordichotelabuja.com,0809 994 4480,,Not sent,,,,,,,
Tranquila Nest,Apartment,info@tranquilanest.com,0706 727 6029,,Not sent,,,,,,,
Swizz Homes Ltd,Apartment,swizzhomesltd.emma@yahoo.com,0703 659 7510,,Not sent,,,,,,,
mmmHouse Aparthotel,Apartment,,0906 000 9273,,Not sent,,,,,,,
Whytescape Serviced Apartments,Apartment,,0816 784 2265,,Not sent,,,,,,,
Grosvenor Suites (Gwarinpa),Apartment,admin@gwarimpa.ng,0812 436 6836,,Not sent,,,,,,,
Centurion Apartments,Apartment,,0816 241 7819,,Not sent,,,,,,,
Peach Hive Ltd,Apartment,peachhiveinfo@gmail.com,0806 907 0521,,Not sent,,,,,,,
Tupon Luxury Homes,Apartment,,0703 193 7484,,Not sent,,,,,,,
Bluehedge Realtors,Apartment,info@bluehedgerealtors.com,0803 206 5685,,Not sent,,,,,,,
Stobart Homes,Apartment,,0818 200 1122,,Not sent,,,,,,,
LoftyXphere Apartments,Apartment,,0906 202 4888,,Not sent,,,,,,,
Red Diamond Properties,Apartment,,0817 776 6110,,Not sent,,,,,,,
Northbridge Realtor,Apartment,,0803 924 7636,,Not sent,,,,,,,
Synergy Real Property,Apartment,,0806 273 0996,,Not sent,,,,,,,
Wallmeta Realty Limited,Apartment,,0813 519 6041,,Not sent,,,,,,,
Ummami Apartments,Apartment,,0814 603 8116,,Not sent,,,,,,,
Tae Shortlets,Apartment,,0911 011 1100,,Not sent,,,,,,,
Qlets Privé Apartments,Apartment,,0704 755 5000,,Not sent,,,,,,,
Cosmetro Homes,Apartment,,0905 401 2470,,Not sent,,,,,,,
Phoenix Luxury Apartments,Apartment,info@phoenixapartmentsabuja.com,,,Not sent,,,,,,,
Metrostay Serviced Apartment,Apartment,mailto:Metrostayapartments@gmail.com,,,Not sent,,,,,,,
Swizz Homes Ltd,Apartment, mailto:swizzhomesltd.emma@yahoo.com,,,Not sent,,,,,,,
Extacode Apartments,Apartment,mailto:extacodeapartments@gmail.com mailto:yourextacode@gmail.com,,,Not sent,,,,,,,
Seasons Apartment Kado,Apartment,hello@theseasonsapartment.com,,,Not sent,,,,,,,
Cedarwood Apartments,Apartment,mailto:reservations@cedarwoodapartments.com.ng,,,Not sent,,,,,,,
Nicotel Apartments,Apartment,info@nicotelapartments.com,,,Not sent,,,,,,,
Brentford Apartments,Apartment,"mailto:info@brentbrooksltd.com mailto:info@brenthousing.com mailto:info@brenthousing.com, mailto:info@brentbrooksltd.com mailto:info@brentbrooksltd.com mailto:admin@brentbrooksltd.com ",,,Not sent,,,,,,,
EIO Shortlets,Apartment,eioshortlets@gmail.com,,,Not sent,,,,,,,
